TeamID,Team Name,Player 1,Player 2,Player 3,Player1 UserID,Player2 UserId,Player3 UserID
17,Abandoned Hope,Alkachaz,Angles,Luka,841696145419272242,164940662758703104,657377645088210962
5,BornDeathLifeEEEAAABBB,GamerGamerGamer,Tion1234,EvoPride,309152507668594688,337246691352772609,440858038669410305
4,Comet to Memeory,NovaAsterix,ZeroProbability (wlth3r),Ultimateo,137406697546186753,188776093723918337,470641523579551756
37,CUBE TEAM(30),Robbie Strong-Morse,Sikolio,WilliamRegal,845836319997034496,267030949064081408,634539048534278166
6,FNM Heroes,Jackth3stripper,njainchill,Arcana,225685441192525825,216054618403110913,245006526840963082
1,Goat Ziege Capra,mgoat,rutasel,eccellente,286797275496316929,517383615089475594,694262021977276577
24,Goon Squad ,Shadow8433,gavinm97,Trinket35,201110854329040896,225453893587435521,566740324991369244
25,I Shouldn't Keep,holica,xbamfx,swellmate,1196867120600993993,480040908151193601,191732172476907521
22,"Jeff, Jeff and Jeffer",Lirek Kulik,SS Minnow Johnson,oaiX,440322165951168512,530560387989635072,143883843135340544
19,Jeremiah and the Gitrogs,traptintime,Jcash117,janlevinsongould,290664635198341121,929833339911819304,259757725674635265
18,Land Lotus Juzam,Coach Katz (MTG_Josu_Kaz),Darkquarterer,Kalzad (cswarrior1),411171835577892864,509545111722524710,159514729327362048
14,Lemonade Rockstar,PrincessoftheDark,bbqhauce,treeseph,858590920525873182,617899905213530134,284843086046298113
2,Maine Phase,GR_DONKIN,Drewidhermit,Bloodbraid_Elf,383437555733102594,442716605118676992,415748785788944385
12,Math's For Blockers,DoeyJoey,Suneater,Regal,472089917611180045,689534151275184140,104383561661952000
21,Miscalculation,proud_homunculus,habernackle.10,cuttythecutta,332753975319330817,565250728352940043,1201564318152540272
16,No Sneep Till Brooklyn,jdpie,KLubSee,Jslurp/Wees (alt),225771717891588096,194997700725309441,191014291376177152
13,Novice Inspectors of Thraben,Karstor,Shallot,Swordspin78,94584742636163072,706231900171403324,489161294717648916
34,Pack Rats,Badgods ,Omrithopter ,Souprem,429770172715368459,435112262785826817,311983278984921090
10,PDX Pandas,GPJedi,Shadow78971,Muhara,212406460322283521,324733933461700618,106933537659174912
9,Spicy Bayou,Ozy_Lellowen,ZealousNihilist,Bromingo,130866466328150016,448699538426036267,224342492932341760
3,Taco Tuesday,AlphaFrog,Sandydog,TrollAsceticftw,238030023045545994,432006921730392066,512760684992397362
7,Team Hedrons Aligned,Lizard_Guy,Iglioflop,Cannolli,199755507970473984,161997735627587594,168134086643154946
31,The clean sweep,elnubdehugo (gerbgerb),John_Art,stasjovb,328481392893886474,811344417025425478,313752517097816065
20,The Illuminates,lightms,kvanderbleek,MasterA,623311116403081276,181918443363237888,698675513643761725
11,The Leftovers,Lost Tyger,PulsieTheDulsie,TBD,158781158702841856,504000365843316763,1
15,TOO MANY COOKS,LukeM,nyx,Rainbow Rat,255387961225510912,455061717165146162,191540696744853505
35,Tough Cookies,JewPCabra666,Zachattack,Cloud7itus,201538181382930432,152616668286156801,180533027695230976
36,Venomous Jealousy,lowghost1,WhammeWhamme,LegacyDan,642857806822637589,532141158457933834,490233345452670997
8,Vintage Rotisserie Chicken,MasterPlum,sti,Juri,100319996885876736,166254868363739136,167360679517487105
32,Wheel of Misfortune,S0ggy,sarahmcslacklen (MrLumpling),Owlsdoom,620408751467528192,235893843403341835,630878448549625866
