TeamName,PreseasonPoints
PDX Pandas,2
I Shouldn't Keep,2
Miscalculation,0
No Sneep Till Brooklyn,0
Math's For Blockers,6
FNM Heroes,5
Comet to Memeory,2
Los Tigres,0
Pack Rats,0
Taco Tuesday,0
Boomer Magic,0
"Jeff, Jeff and Jeffer",0
Maine Phase,2
Goon Squad ,1
CUBE TEAM(30),0
Venomous Jealousy ,0
Goat Ziege Capra,0
Top8mit57karten,0
TOO MANY COOKS,0
Novice Inspectors of Thraben,0
BornDeathLifeEEEAAABBB,2
Team Hedrons Aligned ,1
Vintage Rotisserie Chicken,1
The Illuminates,1
Land Lotus Juzam,1
Spicy Bayou,0
Lemonade Rockstar,0
Abandoned Hope,0
Jeremiah and the Gitrogs,0
 Wheel of Misfortune,0
The clean sweep,0
Tough Cookies,0
The Leftovers,0
Vendillion Misclique,0
The Mystical Tutors,0
The Wandering Drafters,0
Perfavore Non Piangere,0
Three Blind Mice,0
Booster Tutors,0
The Unplayables,0
Team Ace,0
